10 2 0.1
10 2 1.1999999999999999556
10 2 26.499999986733027
10 2 0.0
10 2 2789394.743038
10 2 0.0000000000000002749
10 2 -73849.26489
10 2 -0.000000000038243
10 2 5673894384748578493840380480930094
2 10 01000000000000001101011011110011101000001101001010110110110000001110000001011000110011010000011110101100000101001010110010101101
2 10 11000000000011001000000010110111110001000001001101010101010001110101101000110001101001001011110110111010000010100101001001101001
2 10 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 01111111111111111010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 00000000000000000111010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 01000000000000001101011011110011101000001101001010110110110000001110000001011000110011010000011110101100000101001010110010101101 + 11000000000011001000000010110111110001000001001101010101010001110101101000110001101001001011110110111010000010100101001001101001
2 01000000000000001101011011110011101000001101001010110110110000001110000001011000110011010000011110101100000101001010110010101101 - 11000000000011001000000010110111110001000001001101010101010001110101101000110001101001001011110110111010000010100101001001101001
2 01000000000000001101011011110011101000001101001010110110110000001110000001011000110011010000011110101100000101001010110010101101 * 11000000000011001000000010110111110001000001001101010101010001110101101000110001101001001011110110111010000010100101001001101001
2 01000000000000001101011011110011101000001101001010110110110000001110000001011000110011010000011110101100000101001010110010101101 / 11000000000011001000000010110111110001000001001101010101010001110101101000110001101001001011110110111010000010100101001001101001
10 679348.274 + 7864789590349.283
10 -679348.274 + 7864789590349.283
10 679348.274 + -7864789590349.283
10 -679348.274 + -7864789590349.283
10 0.0346378483 - 63479834900.348934
10 0.0346378483 - -63479834900.348934
10 -0.0346378483 - -63479834900.348934
10 -0.0346378483 - 63479834900.348934
10 679348.274 * 7864789590349.283
10 -679348.274 * 7864789590349.283
10 679348.274 * -7864789590349.283
10 -679348.274 * -7864789590349.283
10 5384.378 * 0.005
10 679348.274 / 7864789590349.283
10 67476584895.248 / 27730.23
10 6479394.483 / 0.05
10 -3748.8348830 / -0.002
10 0 / 3.38
10 377848.3639 * 0.0
2 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010 + 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010
2 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010 + 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
2 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 + 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 + 01000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 + 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 - 01111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 - 11111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
2 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 - 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 - 10000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
